J,R,E,M,E_Num,algo,n_subtypes,mallows_temperature,kendalls_w,runtime,kendalls_tau,subtype_acc,mean_stage_healthy,runtime_cross_validation,absolute_error_n_subtypes,relative_error,correct_bool
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),1,1,SuStaIn (KDE),5,0.19602508227334317,0.31580419580419583,7.059600023428599,0.3303030303030303,0.103220657327065,2.9315068493150687,1822.1371836662292,0.0,0,1
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),2,1,BebmS,4,0.03588067557350569,0.1687062937062937,1.367438507080078,0.19318181818181818,0.5278129357852771,0.16216216216216217,1034.7827212810516,0.0,0,1
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),2,1,BebmS (Blind),4,0.03588067557350569,0.1687062937062937,1.9781570593516031,0.2159090909090909,0.6131891564482477,0.2702702702702703,2124.4581274986267,1.0,1,0
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),2,1,Random Guessing,4,0.03588067557350569,0.1687062937062937,0.0,0.3560606060606061,0.011880908239492068,5.648648648648648,,2.0,100,100
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),2,1,SuStaIn (GMM),4,0.03588067557350569,0.1687062937062937,5.211749585469564,0.3143939393939394,0.41922986550142993,1.5405405405405406,2007.3271100521088,1.0,1,0
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),2,1,SuStaIn (KDE),4,0.03588067557350569,0.1687062937062937,4.929315928618113,0.36363636363636365,0.13149438273433647,2.5405405405405403,1861.8370714187622,1.0,1,0
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),3,1,BebmS,5,0.20962144386118145,0.27776223776223774,1.520468493302663,0.3,0.2905159397415044,0.1232876712328767,993.192548751831,0.0,0,1
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),3,1,BebmS (Blind),5,0.20962144386118145,0.27776223776223774,1.7942612330118815,0.2939393939393939,0.26217958915130735,0.4657534246575342,1386.3660018444061,3.0,-3,0
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),3,1,Random Guessing,5,0.20962144386118145,0.27776223776223774,0.0,0.44545454545454544,-0.010360295043517093,5.958904109589041,,4.0,100,100
300,0.25,Exp 1: S & Ordinal kj (DM) & X (Normal),3,1,SuStaIn (GMM),5,0.20962144386118145,0.27776223776223774,6.1653666496276855,0.3242424242424242,0.24984960114644572,1.6712328767123288,1622.15971326828,0.0,0,1
